Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2011,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2012,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,1
2013,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2014,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2015,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,2
2016,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,0
2017,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,2
2018,England,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,E92000001,1
2001,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2002,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2003,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,1
2004,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2005,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2006,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2007,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2008,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2009,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2010,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2011,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2012,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2013,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2014,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2015,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2016,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2017,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2018,Wales,Male,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2001,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2002,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2003,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2004,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2005,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2006,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2007,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2008,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2009,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2010,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2011,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2012,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2013,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2014,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2015,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2016,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2017,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
2018,Wales,Female,Exposure to excessive natural heat,Undefined,Units,Number of Deaths,Deaths,W92000004,0
